title,date,quote_text,status,url
Celso Russomanno não votou contra a Lei da Ficha Limpa,"24 de setembro de 2020, 18h48",Ele disse não para o projeto Ficha Limpa,,https://www.aosfatos.org/noticias/celso-russomanno-nao-votou-contra-lei-da-ficha-limpa/
É falso que MPF identificou depósitos de Jean Wyllys para advogado de Adélio Bispo,"21 de setembro de 2020, 15h45",URGENTE: MPF identificou depósitos de Jean Wyllys para advogado de Adélio Bispo. R$ 50 mil em depósitos.,FALSO,https://www.aosfatos.org/noticias/e-falso-que-mpf-identificou-depositos-de-jean-wyllys-para-advogado-de-adelio-bispo/
Filho mais novo de Bolsonaro não ganhou cargo na Secretaria de Cultura nem salário de R$ 37 mil,"22 de setembro de 2020, 17h32","Filho número 04 de #ForaBolsonaro, o pegador do condomínio, agora é consultor federal da secretaria especial de cultura da União, com um salário de 37.000 reais.",FALSO,https://www.aosfatos.org/noticias/filho-mais-novo-de-bolsonaro-nao-ganhou-cargo-na-secretaria-de-cultura-nem-salario-de-r-37-mil/
"Para elogiar Bolsonaro, post distorce falas de Joaquim Barbosa, Alberto Youssef e Beira-Mar","23 de setembro de 2020, 14h01",Ele foi elogiado pelo ministro Joaquim Barbosa como o único que não se vendeu no Mensalão.,FALSO,https://www.aosfatos.org/noticias/para-elogiar-bolsonaro-post-distorce-falas-de-joaquim-barbosa-alberto-youssef-e-beira-mar/
"Para elogiar Bolsonaro, post distorce falas de Joaquim Barbosa, Alberto Youssef e Beira-Mar","23 de setembro de 2020, 14h01",O Alberto Youssef disse que o Jair Bolsonaro era o único que não pegava dinheiro no petrolão.,FALSO,https://www.aosfatos.org/noticias/para-elogiar-bolsonaro-post-distorce-falas-de-joaquim-barbosa-alberto-youssef-e-beira-mar/
"Para elogiar Bolsonaro, post distorce falas de Joaquim Barbosa, Alberto Youssef e Beira-Mar","23 de setembro de 2020, 14h01",O Beira-mar disse que era um dos únicos que ele respeitava por saber de sua conduta.,FALSO,https://www.aosfatos.org/noticias/para-elogiar-bolsonaro-post-distorce-falas-de-joaquim-barbosa-alberto-youssef-e-beira-mar/
É falso que Covid-19 não matou nenhum político no Brasil,"23 de setembro de 2020, 14h52",Que raio de vírus é esse que não matou nenhum político. Será que esse vírus é corrupto.,FALSO,https://www.aosfatos.org/noticias/e-falso-que-covid-19-nao-matou-nenhum-politico-no-brasil/
Lula não foi convidado para discursar na ONU após ‘fiasco de Bolsonaro’,"23 de setembro de 2020, 18h39","ONU convida Lula para discursar, após fiasco de Bolsonaro.",FALSO,https://www.aosfatos.org/noticias/lula-nao-foi-convidado-para-discursar-na-onu-apos-fiasco-de-bolsonaro/
"No Roda Viva, Moro distorce fatos ao comentar relação de Bolsonaro com imprensa e Polícia Federal","21 de janeiro de 2020, 18h57",Não se vê qualquer iniciativa do presidente de cercear a liberdade de imprensa.,FALSO,https://www.aosfatos.org/noticias/no-roda-viva-moro-distorce-fatos-ao-comentar-relacao-de-bolsonaro-com-imprensa-e-policia-federal/
"No Roda Viva, Moro distorce fatos ao comentar relação de Bolsonaro com imprensa e Polícia Federal","21 de janeiro de 2020, 18h57","[Houve, no primeiro ano do governo Bolsonaro,] uma queda sem precedentes históricos nos números dos principais crimes como assassinatos, latrocínios, roubos. Todos esses indicadores criminais caíram.",FALSO,https://www.aosfatos.org/noticias/no-roda-viva-moro-distorce-fatos-ao-comentar-relacao-de-bolsonaro-com-imprensa-e-policia-federal/
Bolsonaro nega orientações da ciência e distorce informações para minimizar pandemia,"24 de março de 2020, 20h25","... caso fosse contaminado pelo vírus, [eu] não precisaria me preocupar, nada sentiria ou seria, quando muito acometido de uma gripezinha ou resfriadinho...",FALSO,https://www.aosfatos.org/noticias/bolsonaro-nega-orientacoes-da-ciencia-e-distorce-informacoes-para-minimizar-pandemia/
Bolsonaro nega orientações da ciência e distorce informações para minimizar pandemia,"24 de março de 2020, 20h25",O que se passa no mundo tem mostrado que o grupo de risco é o das pessoas acima dos 60 anos. Então por que fechar escolas?,FALSO,https://www.aosfatos.org/noticias/bolsonaro-nega-orientacoes-da-ciencia-e-distorce-informacoes-para-minimizar-pandemia/
Haddad não é o ‘pai do kit gay nas escolas’; desinformação volta a circular nas redes,"18 de setembro de 2020, 17h42",SE O POVO DO NORDESTE SOUBER EM REDE NACIONAL QUE FERNANDO HADDAD É ‘O PAI DO KIT GAY NAS ESCOLAS’ O PT JÁ ERA.,FALSO,https://www.aosfatos.org/noticias/haddad-nao-e-o-pai-do-kit-gay-nas-escolas-desinformacao-volta-circular-nas-redes/
Haddad não é o ‘pai do kit gay nas escolas’; desinformação volta a circular nas redes,"18 de setembro de 2020, 17h42",,FALSO,https://www.aosfatos.org/noticias/haddad-nao-e-o-pai-do-kit-gay-nas-escolas-desinformacao-volta-circular-nas-redes/
"Vídeo de chuva no Pantanal é de agosto, antes do recorde de incêndios na região","21 de setembro de 2020, 15h31",Tá dado o recado! Deus é Deus 🤠🤠🤠.,FALSO,https://www.aosfatos.org/noticias/video-de-chuva-no-pantanal-e-de-agosto-antes-do-recorde-de-incendios-na-regiao/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05","“Segundo a Veja, está publicado aqui, quem vazou esse processo para a Globo foi o seu governador [do RJ, Wilson] Witzel”",,https://www.aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05",Teve aquele caso que alguém tentou entrar com o nome dele [Adélio] na Câmara. O álibi perfeito.,,https://www.aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05","Rede Globo, vocês tiveram acesso a um processo que segue em segredo de Justiça. Vocês têm que ser investigados no tocante a isso.",,https://www.aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07","[Depois que eu fui preso,] (...) o povo tá passando fome.",,https://www.aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07","[Depois que eu fui preso,] (...) o povo tá desempregado",,https://www.aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07","[Depois que eu fui preso,] (...) o povo tá trabalhando de uber, o povo tá trabalhando de bicicleta pra entregar pizza.",,https://www.aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
O que é fato no pronunciamento de Natal de Bolsonaro,"26 de dezembro de 2019, 18h59",Tive a possibilidade ímpar de escolher 22 ministros pelo critério técnico.,,https://www.aosfatos.org/noticias/o-que-e-fato-no-pronunciamento-de-natal-de-bolsonaro/
O que é fato no pronunciamento de Natal de Bolsonaro,"26 de dezembro de 2019, 18h59",Estamos terminando 2019 sem qualquer denúncia de corrupção.,,https://www.aosfatos.org/noticias/o-que-e-fato-no-pronunciamento-de-natal-de-bolsonaro/
O que é fato no pronunciamento de Natal de Bolsonaro,"26 de dezembro de 2019, 18h59",O aumento significativo no número de turistas (...) bem demonstram os novos rumos do Brasil.,,https://www.aosfatos.org/noticias/o-que-e-fato-no-pronunciamento-de-natal-de-bolsonaro/
